iata_code,name,municipality,latitude_deg,longitude_deg,iso_country
LOZ,London-Corbin Airport/Magee Field,London,37.0821990967,-84.08489990230001,US
LRD,Laredo International Airport,Laredo,27.5438,-99.461601,US
LRF,Little Rock Air Force Base,Jacksonville,34.916900634799994,-92.14969635010002,US
LRU,Las Cruces International Airport,Las Cruces,32.289398,-106.921997,US
LSE,La Crosse Regional Airport,La Crosse,43.879002,-91.256699,US
LSF,Lawson Army Air Field,Fort Benning,32.332546,-84.988003,US
LSV,Nellis Air Force Base,Las Vegas,36.2361984253,-115.033996582,US
LTS,Altus Air Force Base,Altus,34.667099,-99.266701,US
LUF,Luke Air Force Base,Glendale,33.535,-112.383003,US
LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,39.102357,-84.418945,US
LVM,Mission Field,Livingston,45.6994018555,-110.447998047,US
LVS,Las Vegas Municipal Airport,Las Vegas,35.654202,-105.141998,US
LWB,Greenbrier Valley Airport,Lewisburg,37.857914,-80.400438,US
LWM,Lawrence Municipal Airport,Lawrence,42.7172012329,-71.1233978271,US
LWS,Lewiston Nez Perce County Airport,Lewiston,46.3745002746582,-117.01499938964844,US
LWT,Lewistown Municipal Airport,Lewistown,47.048429,-109.466143,US
LYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,37.326698,-79.200401,US
MAF,Midland International Air and Space Port,Midland,31.942499,-102.202003,US
MBG,Mobridge Municipal Airport,Mobridge,45.54650116,-100.4079971,US
MBS,MBS International Airport,Freeland,43.533181,-84.083104,US
MCB,McComb-Pike County Airport / John E Lewis Field,McComb,31.178499,-90.471901,US
MCC,McClellan Airfield,Sacramento,38.667599,-121.401001,US
MCE,Merced Regional Macready Field,Merced,37.284698,-120.514,US
MCF,MacDill Air Force Base,Tampa,27.8493,-82.521202,US
MCI,Kansas City International Airport,Kansas City,39.2976,-94.713898,US
MCK,McCook Ben Nelson Regional Airport,McCook,40.207787,-100.592794,US
MCN,Middle Georgia Regional Airport,Macon,32.69279861450195,-83.64920043945312,US
MCO,Orlando International Airport,Orlando,28.429399490356445,-81.30899810791016,US
MCW,Mason City Municipal Airport,Mason City,43.159801,-93.329716,US
MDH,Southern Illinois Airport,Murphysboro,37.778099,-89.251999,US
MDT,Harrisburg International Airport,Harrisburg,40.192838,-76.762333,US
MDW,Chicago Midway International Airport,Chicago,41.785999,-87.752403,US
MEI,Key Field / Meridian Regional Airport,Meridian,32.3326,-88.7519,US
MEM,Memphis International Airport,Memphis,35.043845,-89.97634,US
MER,Castle Airport,Merced,37.38050079,-120.5680008,US
MFD,Mansfield Lahm Regional Airport,Mansfield,40.82139968869999,-82.5166015625,US
MFE,McAllen Miller International Airport,McAllen,26.176141,-98.237965,US
MFR,Rogue Valley International-Medford Airport,Medford,42.374199,-122.873001,US
MGC,Michigan City Municipal Airport,Michigan City,41.7033,-86.821198,US
MGE,Dobbins Air Reserve Base,Marietta,33.915401,-84.516296,US
MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,32.300598,-86.393997,US
MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,39.643305,-79.917598,US
MHK,Manhattan Regional Airport,Manhattan,39.14099884033203,-96.6707992553711,US
MHR,Sacramento Mather Airport,Sacramento,38.554744,-121.297989,US
MHT,Manchester-Boston Regional Airport,Manchester,42.932598,-71.435699,US
MIA,Miami International Airport,Miami,25.7932,-80.290604,US
MIB,Minot Air Force Base,Minot,48.4156,-101.358002,US
MIE,Delaware County Johnson Field,Muncie,40.242298,-85.395897,US
MIV,Millville Municipal Airport,Millville,39.367802,-75.072197,US
MKC,Charles B. Wheeler Downtown Airport,Kansas City,39.123199,-94.592796,US
MKE,General Mitchell International Airport,Milwaukee,42.947201,-87.896599,US
MKG,Muskegon County Airport,Muskegon,43.169498,-86.238197,US
MKL,McKellar-Sipes Regional Airport,Jackson,35.599899,-88.915604,US
MLB,Melbourne Orlando International Airport,Melbourne,28.102009,-80.641088,US
MLC,Mc Alester Regional Airport,Mc Alester,34.882401,-95.783501,US
MLI,Quad City International Airport,Moline,41.448502,-90.5075,US
MLS,Miles City Airport - Frank Wiley Field,Miles City,46.427268,-105.885372,US
MLU,Monroe Regional Airport,Monroe,32.510899,-92.037697,US
MMT,Mc Entire Joint National Guard Base,Eastover,33.92079926,-80.80130005,US
MMU,Morristown Municipal Airport,Morristown,40.799062,-74.414949,US
MOB,Mobile Regional Airport,Mobile,30.6912,-88.242798,US
MOD,Modesto City Co-Harry Sham Field,Modesto,37.625801,-120.954002,US
MOT,Minot International Airport,Minot,48.25801,-101.279123,US
MPV,Edward F Knapp State Airport,Barre/Montpelier,44.20349884,-72.56230164,US
MQY,Smyrna Airport,Smyrna,36.0089988708,-86.5201034546,US
MRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,39.40190125,-77.98459625,US
MRY,Monterey Regional Airport,Monterey,36.586777,-121.844183,US
MSL,Northwest Alabama Regional Airport,Muscle Shoals,34.745123,-87.612981,US
MSN,Dane County Regional Truax Field,Madison,43.1399,-89.337502,US
MSO,Missoula Montana Airport,Missoula,46.915816,-114.091107,US
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,44.880081,-93.221741,US
MSS,Massena International Airport Richards Field,Massena,44.936157,-74.844304,US
MSY,Louis Armstrong New Orleans International Airport,New Orleans,29.993401,-90.258003,US
MTC,Selfridge Air National Guard Base Airport,Mount Clemens,42.613463,-82.836919,US
MTH,Florida Keys Marathon International Airport,Marathon,24.726006,-81.05138,US
MTJ,Montrose Regional Airport,Montrose,38.5098,-107.893997,US
MTN,Martin State Airport,Baltimore,39.325699,-76.413803,US
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),40.435214,-76.568661,US
MUO,Mountain Home Air Force Base,Mountain Home,43.043598,-115.872002,US
MWA,Veterans Airport of Southern Illinois,Marion,37.751208,-89.016568,US
MWH,Grant County International Airport,Moses Lake,47.20769882,-119.3199997,US
MWL,Mineral Wells Regional Airport,Mineral Wells,32.781601,-98.060204,US
MXF,Maxwell Air Force Base,Montgomery,32.3829,-86.365799,US
MYL,McCall Municipal Airport,McCall,44.888837,-116.101112,US
MYR,Myrtle Beach International Airport,Myrtle Beach,33.679699,-78.928299,US
MYV,Yuba County Airport,Marysville,39.09780121,-121.5699997,US
NBG,New Orleans NAS JRB/Alvin Callender Field,New Orleans,29.82530022,-90.03500366,US
NEL,Lakehurst Maxfield Field Airport,Lakehurst,40.03329849,-74.353302,US
NEW,Lakefront Airport,New Orleans,30.042400360107,-90.028297424316,US
NFL,Fallon Naval Air Station,Fallon,39.41659927,-118.7009964,US
FWH,NAS Fort Worth JRB / Carswell Field,Fort Worth,32.769199,-97.441498,US
NGP,Naval Air Station Corpus Christi Truax Field,Corpus Christi,27.6926,-97.2911,US
NGU,Norfolk Naval Station (Chambers Field),Norfolk,36.937599,-76.289299,US
NHK,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,38.285999,-76.411797,US
NIP,Jacksonville Naval Air Station (Towers Field),Jacksonville,30.2358,-81.680603,US
NJK,El Centro NAF Airport (Vraciu Field),El Centro,32.829201,-115.671996,US
NKX,Miramar Marine Corps Air Station - Mitscher Field,San Diego,32.86840057,-117.1429977,US
NLC,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,36.33300018,-119.9520035,US
NPA,Naval Air Station Pensacola Forrest Sherman Field,Pensacola,30.352699,-87.318604,US
NQA,Millington-Memphis Airport,Millington,35.356701,-89.8703,US
NQI,Kingsville Naval Air Station,Kingsville,27.5072002411,-97.8097000122,US
NQX,Naval Air Station Key West/Boca Chica Field,Key West,24.57579994,-81.68890381,US
NRB,Naval Station Mayport / Admiral David L McDonald Field,Jacksonville,30.3911,-81.424698,US
NSE,Whiting Field Naval Air Station - North,Milton,30.7241993,-87.02189636,US
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,34.120300293,-119.121002197,US
NTU,Oceana Naval Air Station,Virginia Beach,36.820702,-76.033501,US
NUQ,Moffett Federal Airfield,Mountain View,37.4161,-122.049004,US
NUW,Whidbey Island Naval Air Station (Ault Field),Oak Harbor,48.351799,-122.655998,US
NYG,Quantico Marine Corps Airfield / Turner Field,Quantico,38.501701,-77.305298,US
YUM,Yuma International Airport / Marine Corps Air Station Yuma,Yuma,32.650938,-114.609375,US
NZY,North Island Naval Air Station-Halsey Field,San Diego,32.69919968,-117.2149963,US
OAJ,Albert J Ellis Airport,Richlands,34.829201,-77.612099,US
OAK,San Francisco Bay Oakland International Airport,Oakland,37.720085,-122.221184,US
OFF,Offutt Air Force Base,Omaha,41.119307,-95.90851,US
OFK,Karl Stefan Memorial Airport,Norfolk,41.985500335693,-97.435096740723,US
OGB,Orangeburg Municipal Airport,Orangeburg,33.456798553467,-80.859497070312,US
OGD,Ogden Hinckley Airport,Ogden,41.195899963379,-112.0120010376,US
OGS,Ogdensburg International Airport,Ogdensburg,44.6819,-75.4655,US
OKC,OKC Will Rogers World Airport,Oklahoma City,35.393388,-97.598248,US
OLF,L M Clayton Airport,Wolf Point,48.094501,-105.574997,US
OLM,Olympia Regional Airport,Olympia,46.969399,-122.903,US
OLS,Nogales International Airport,Nogales,31.4177,-110.848,US
OLU,Columbus Municipal Airport,Columbus,41.448145,-97.340174,US
OMA,Eppley Airfield,Omaha,41.3032,-95.894096,US
ONO,Ontario Municipal Airport,Oregon,44.0198,-117.013289,US
ONP,Newport Municipal Airport,Newport,44.580399,-124.057999,US
ONT,Ontario International Airport,Ontario,34.056,-117.600998,US
OPF,Miami-Opa Locka Executive Airport,Miami,25.907,-80.278397,US
NCO,Quonset State Airport,North Kingstown,41.597099304199,-71.412101745605,US
ORD,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,US
ORF,Norfolk International Airport,Norfolk,36.895341,-76.201,US
ORH,Worcester Regional Airport,Worcester,42.2673,-71.875702,US
ORL,Orlando Executive Airport,Orlando,28.5455,-81.332901,US
ESD,Orcas Island Airport,Eastsound,48.708199,-122.910004,US
OSH,Wittman Regional Airport,Oshkosh,43.98440170288086,-88.55699920654297,US
OSU,The Ohio State University Airport - Don Scott Field,Columbus,40.0798,-83.072998,US
OTH,Southwest Oregon Regional Airport,North Bend,43.41709899902344,-124.24600219726562,US
OTM,Ottumwa Regional Airport,Ottumwa,41.106368,-92.449837,US
OWB,Owensboro Daviess County Airport,Owensboro,37.74010086,-87.16680145,US
OWD,Norwood Memorial Airport,Norwood,42.1904983521,-71.1728973389,US
OCE,Ocean City Municipal Airport,Ocean City,38.310398,-75.124001,US
OXR,Oxnard Airport,Oxnard,34.200801849365,-119.20700073242,US
OZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,31.27569962,-85.71340179,US
PAE,Seattle Paine Field International Airport,Everett,47.9063,-122.281998,US
PAH,Barkley Regional Airport,Paducah,37.06079864501953,-88.7738037109375,US
PAM,Tyndall Air Force Base,Panama City,30.069599,-85.575401,US
PAO,Palo Alto Airport,Palo Alto,37.461102,-122.114998,US
PBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,34.174121,-91.935643,US
PBG,Plattsburgh International Airport,Plattsburgh,44.650902,-73.468102,US
PBI,Palm Beach International Airport,West Palm Beach,26.683201,-80.095596,US
PDK,DeKalb Peachtree Airport,Atlanta,33.87633,-84.30213,US
PDT,Eastern Oregon Regional Airport at Pendleton,Pendleton,45.695099,-118.841003,US
PDX,Portland International Airport,Portland,45.588699,-122.598,US
PGA,Page Municipal Airport,Page,36.924234,-111.447716,US
PGD,Punta Gorda Airport,Punta Gorda,26.9202,-81.990501,US
PGV,Pitt-Greenville Airport,Greenville,35.635535,-77.384262,US
PHF,Newport News Williamsburg International Airport,Newport News,37.131901,-76.492996,US
PHL,Philadelphia International Airport,Philadelphia,39.871899,-75.241096,US
PHX,Phoenix Sky Harbor International Airport,Phoenix,33.435302,-112.005905,US
PIA,General Wayne A. Downing Peoria International Airport,Peoria,40.663841,-89.692631,US
PIB,Hattiesburg Laurel Regional Airport,Moselle,31.4671,-89.337097,US
PIE,St. Petersburg Clearwater International Airport,Pinellas Park,27.9102,-82.687401,US
PIH,Pocatello Regional Airport,Pocatello,42.9098014831543,-112.59600067138672,US
PIR,Pierre Regional Airport,Pierre,44.38270187,-100.2860031,US
PIT,Pittsburgh International Airport,Pittsburgh,40.491501,-80.232903,US
PKB,Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),39.3451,-81.439201,US
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,45.57089996,-84.79669952,US
PMD,Palmdale Regional Airport / USAF Plant 42 Airport,Palmdale,34.629398,-118.084999,US
PWY,Ralph Wenz Field,Pinedale,42.79550171,-109.8069992,US
PNC,Ponca City Regional Airport,Ponca City,36.73199844,-97.09980011,US
PNE,Northeast Philadelphia Airport,Philadelphia,40.082406,-75.010614,US
PNS,Pensacola International Airport,Pensacola,30.472718,-87.186639,US
POB,Pope Field,Fort Bragg,35.170898,-79.014503,US
POE,Polk Army Air Field,Fort Polk,31.0447998,-93.1917038,US
POU,Dutchess County Airport,Poughkeepsie,41.6265983581543,-73.88420104980469,US
PQI,Presque Isle International Airport,Presque Isle,46.688999,-68.0448,US
PRB,Paso Robles Municipal Airport,Paso Robles,35.67290115,-120.6269989,US
PRC,Prescott Regional Airport - Ernest A. Love Field,Prescott,34.653502,-112.419883,US
PRX,Cox Field,Paris,33.636600494385,-95.450798034668,US
PSC,Tri Cities Airport,Pasco,46.264702,-119.119003,US
PSM,Portsmouth International Airport at Pease,Portsmouth,43.0779,-70.823303,US
PSP,Palm Springs International Airport,Palm Springs,33.8297,-116.507004,US
PTK,Oakland County International Airport,Pontiac,42.665500640869,-83.420097351074,US
PUB,Pueblo Memorial Airport,Pueblo,38.289101,-104.497002,US
PUW,Pullman-Moscow Regional Airport,Pullman,46.741601,-117.11163,US
PVD,Rhode Island T. F. Green International Airport,Providence/Warwick,41.725038,-71.425668,US
PVU,Provo Municipal Airport,Provo,40.218894,-111.722445,US
PWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,42.114222,-87.901494,US
PWM,Portland International Jetport,Portland,43.646198,-70.309303,US
PWT,Bremerton National Airport,Bremerton,47.490200042725,-122.76499938965,US
RAL,Riverside Municipal Airport,Riverside,33.9519,-117.445,US
RAP,Rapid City Regional Airport,Rapid City,44.0452995300293,-103.05699920654295,US
RBL,Red Bluff Municipal Airport,Red Bluff,40.1506996155,-122.251998901,US
RCA,Ellsworth Air Force Base,Rapid City,44.14500046,-103.1039963,US
RDD,Redding Municipal Airport,Redding,40.50899887,-122.2929993,US
RDG,Reading Regional Airport (Carl A Spaatz Field),Reading,40.378502,-75.965202,US
RDM,Roberts Field,Redmond,44.254101,-121.150002,US
RDR,Grand Forks Air Force Base,Grand Forks,47.961101532,-97.4011993408,US
RDU,Raleigh-Durham International Airport,Raleigh/Durham,35.878659,-78.7873,US
RFD,Chicago Rockford International Airport,Chicago/Rockford,42.1954,-89.097198,US
RHI,Rhinelander Oneida County Airport,Rhinelander,45.63119888305664,-89.46749877929688,US
RIC,Richmond International Airport,Richmond,37.505199,-77.319702,US
RIL,Garfield County Regional Airport,Rifle,39.526299,-107.726997,US
RIV,March Air Reserve Base,Riverside,33.880699,-117.259003,US
RIW,Central Wyoming Regional Airport,Riverton,43.064201,-108.459999,US
RKD,Knox County Regional Airport,Rockland,44.060101,-69.099197,US
RKS,Southwest Wyoming Regional Airport,Rock Springs,41.5942,-109.065001,US
RME,Griffiss International Airport,Rome,43.23379898,-75.40699768,US
RMG,Richard B Russell Airport,Rome,34.3506011963,-85.15799713130001,US
RND,Randolph Air Force Base,Universal City,29.529699,-98.2789,US
RNH,New Richmond Regional Airport,New Richmond,45.1483,-92.538101,US
RNO,Reno Tahoe International Airport,Reno,39.4991,-119.767998,US
ROA,Roanoke–Blacksburg Regional Airport,Roanoke,37.3255,-79.975403,US
ROC,Frederick Douglass Greater Rochester International Airport,Rochester,43.1189,-77.672401,US
ROW,Roswell Air Center Airport,Roswell,33.301601,-104.530998,US
RSL,Russell Municipal Airport,Russell,38.872100830078,-98.811798095703,US
RST,Rochester International Airport,Rochester,43.908298,-92.5,US
RSW,Southwest Florida International Airport,Fort Myers,26.534685,-81.752816,US
RUT,Rutland - Southern Vermont Regional Airport,Rutland,43.5294,-72.9496,US
RVS,Tulsa Riverside Airport,Tulsa,36.0396,-95.984596,US
RWF,Redwood Falls Municipal Airport,Redwood Falls,44.547199,-95.082298,US
RWI,Rocky Mount Wilson Regional Airport,Rocky Mount,35.8563,-77.891899,US
RWL,Rawlins Municipal Airport/Harvey Field,Rawlins,41.80559921,-107.1999969,US
SAC,Sacramento Executive Airport,Sacramento,38.5125007629,-121.492996216,US
SAF,Santa Fe Municipal Airport,Santa Fe,35.6171,-106.088997,US
SAN,San Diego International Airport,San Diego,32.733601,-117.190002,US
SAT,San Antonio International Airport,San Antonio,29.533701,-98.469803,US
SAV,Savannah Hilton Head International Airport,Savannah,32.126591,-81.19998,US
MQT,Marquette/Sawyer International Airport,Gwinn,46.351498,-87.395884,US
SBA,Santa Barbara Municipal Airport,Santa Barbara,34.426201,-119.839996,US
SBD,San Bernardino International Airport,San Bernardino,34.096717,-117.236596,US
